timestamp,index,expiry_tag,expiry_date,offset,index_price,atm,strike,ce,pe,tp,avg_ce,avg_pe,avg_tp,ce_vol,pe_vol,ce_oi,pe_oi,ce_iv,pe_iv,ce_delta,pe_delta,ce_theta,pe_theta,ce_vega,pe_vega,ce_gamma,pe_gamma,ce_rho,pe_rho
29-09-2025 12:22:30,FINNIFTY,this_month,2025-09-30,-50,25921.25,25900,25850,153.15,49.75,202.9,229.1,29.09,258.19,12480,1221675,7020,79040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29-09-2025 12:33:30,FINNIFTY,this_month,2025-09-30,-50,25924.1,25900,25850,155.25,44.85,200.1,224.6,30.32,254.92,13390,1318330,7150,64740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
